timestamp,speed,steer,throttle,brake
7391,19.8,0.01,1.0,0
4584,20.87,-0.01,0.5,0
3838,20.63,0.01,0.5,0
6173,22.92,-0.01,0.5,0
3531,17.73,-0.01,1.0,0
3294,0.0,0.01,0.0,1
4084,20.55,0.01,0.5,0
5428,22.91,-0.02,0.5,0
545,37.71,0.02,1.0,0
1905,0.0,-0.02,0.0,1
4992,22.71,-0.02,0.5,0
9250,22.53,0.02,0.5,0
2204,20.83,-0.02,0.5,0
928,0.0,0.02,0.0,1
558,57.99,0.02,1.0,0
5189,40.46,0.02,0.0,1
1895,0.0,-0.02,0.0,1
1496,19.66,0.02,1.0,0
1542,37.99,0.02,1.0,0
783,0.0,0.02,0.0,1
5091,81.88,-0.02,0.5,0
1863,0.0,-0.02,0.0,1
9641,53.52,0.02,0.5,0
5086,80.04,0.02,0.5,0
6350,28.3,0.02,0.5,0
3208,19.95,0.02,1.0,0
1899,0.0,-0.02,0.0,1
9072,21.93,-0.02,0.5,0
967,0.0,0.02,0.0,1
